Country,ID,Year,Production
Angola,AGO,1990,50
Angola,AGO,1991,79
Angola,AGO,1992,78
Angola,AGO,1993,33
Angola,AGO,1994,77
Angola,AGO,1995,62
Angola,AGO,1996,71
Angola,AGO,1997,64
Angola,AGO,1998,85
Angola,AGO,1999,55
Angola,AGO,2000,50
Angola,AGO,2001,21
Angola,AGO,2002,57
Angola,AGO,2003,38
Angola,AGO,2004,15
Angola,AGO,2005,25
Angola,AGO,2006,35
Angola,AGO,2007,36
Angola,AGO,2008,38
Angola,AGO,2009,13
Angola,AGO,2010,35
Angola,AGO,2011,29
Angola,AGO,2012,33
Angola,AGO,2013,35
Angola,AGO,2014,39
Bolivia,BOL,1990,123
Bolivia,BOL,1991,107
Bolivia,BOL,1992,123
Bolivia,BOL,1993,57
Bolivia,BOL,1994,122
Bolivia,BOL,1995,152
Bolivia,BOL,1996,133
Bolivia,BOL,1997,153
Bolivia,BOL,1998,150
Bolivia,BOL,1999,184
Bolivia,BOL,2000,173
Bolivia,BOL,2001,118
Bolivia,BOL,2002,149
Bolivia,BOL,2003,125
Bolivia,BOL,2004,170
Bolivia,BOL,2005,129
Bolivia,BOL,2006,164
Bolivia,BOL,2007,133
Bolivia,BOL,2008,135
Bolivia,BOL,2009,142
Bolivia,BOL,2010,130
Bolivia,BOL,2011,143
Bolivia,BOL,2012,115
Bolivia,BOL,2013,128
Bolivia,BOL,2014,106
Brazil,BRA,1990,27286
Brazil,BRA,1991,27293
Brazil,BRA,1992,34603
Brazil,BRA,1993,28167
Brazil,BRA,1994,28192
Brazil,BRA,1995,18060
Brazil,BRA,1996,29197
Brazil,BRA,1997,26148
Brazil,BRA,1998,36761
Brazil,BRA,1999,47578
Brazil,BRA,2000,31310
Brazil,BRA,2001,31365
Brazil,BRA,2002,48480
Brazil,BRA,2003,28820
Brazil,BRA,2004,39272
Brazil,BRA,2005,32944
Brazil,BRA,2006,42512
Brazil,BRA,2007,36070
Brazil,BRA,2008,45992
Brazil,BRA,2009,39470
Brazil,BRA,2010,48095
Brazil,BRA,2011,43484
Brazil,BRA,2012,50826
Brazil,BRA,2013,49152
Brazil,BRA,2014,45342
Burundi,BDI,1990,487
